N     Naive-recurssion Bottom-up       closed-form     Matrix-computation
0     0.0000030000     0.0000020000    0.0000340000    0.0000030000
1     0.0000010000     0.0000020000    0.0000020000    0.0000020000
2     0.0000020000     0.0000020000    0.0000030000    0.0000020000
3     0.0000020000     0.0000020000    0.0000460000    0.0000040000
4     0.0000020000     0.0000020000    0.0000030000    0.0000030000
5     0.0000020000     0.0000020000    0.0000030000    0.0000030000
6     0.0000020000     0.0000020000    0.0000030000    0.0000020000
7     0.0000030000     0.0000020000    0.0000030000    0.0000030000
8     0.0000030000     0.0000020000    0.0000030000    0.0000020000
9     0.0000040000     0.0000020000    0.0000030000    0.0000030000
10    0.0000040000     0.0000020000    0.0000030000    0.0000030000
11    0.0000050000     0.0000020000    0.0000020000    0.0000030000
12    0.0000060000     0.0000020000    0.0000030000    0.0000030000
13    0.0000090000     0.0000020000    0.0000030000    0.0000030000
14    0.0000130000     0.0000020000    0.0000030000    0.0000020000
15    0.0000210000     0.0000020000    0.0000030000    0.0000040000
16    0.0000320000     0.0000020000    0.0000030000    0.0000030000
17    0.0000500000     0.0000020000    0.0000020000    0.0000030000
18    0.0000810000     0.0000020000    0.0000030000    0.0000030000
19    0.0001280000     0.0000030000    0.0000030000    0.0000030000
20    0.0002070000     0.0000020000    0.0000030000    0.0000030000
21    0.0003340000     0.0000020000    0.0000020000    0.0000030000
22    0.0005390000     0.0000020000    0.0000020000    0.0000040000
23    0.0008730000     0.0000020000    0.0000030000    0.0000030000
24    0.0014990000     0.0000040000    0.0000070000    0.0000060000
25    0.0052350000     0.0000050000    0.0000080000    0.0000080000
26    0.0043700000     0.0000000000    0.0000020000    0.0000020000
27    0.0101740000     0.0000010000    0.0000020000    0.0000010000
28    0.0028040000     0.0000010000    0.0000010000    0.0000010000
29    0.0075240000     0.0000040000    0.0000130000    0.0000070000
30    0.0419120000     0.0000040000    0.0000080000    0.0000090000
31    0.0305780000     0.0000010000    0.0000030000    0.0000010000
32    0.0805350000     0.0000040000    0.0000100000    0.0000070000
33    0.1521010000     0.0000050000    0.0000070000    0.0000070000
34    0.2636550000     0.0000040000    0.0000080000    0.0000080000
35    0.4186500000     0.0000000000    0.0000030000    0.0000010000
36    0.6829280000     0.0000050000    0.0000090000    0.0000080000
37    1.1378340000     0.0000040000    0.0000100000    0.0000080000
38    1.4991270000     0.0000010000    0.0000030000    0.0000020000
39    1.3668240000     0.0000030000    0.0000130000    0.0000060000
40    1.8453910000     0.0000010000    0.0000040000    0.0000020000
41    2.4258660000     0.0000000000    0.0000020000    0.0000020000
42    3.7727250000     0.0000010000    0.0000030000    0.0000010000
43    8.5546810000     0.0000010000    0.0000030000    0.0000010000
44    16.7091360000    0.0000010000    0.0000050000    0.0000030000
45    28.5592330000    0.0000020000    0.0000040000    0.0000020000
46    48.3351770000    0.0000060000    0.0000130000    0.0000120000
47    68.4943320000    0.0000050000    0.0000150000    0.0000090000
48    123.4439160000   0.0000040000    0.0000070000    0.0000060000
49    217.6175010000   0.0000050000    0.0000100000    0.0000100000

THis table respresent time taken to compute every fibonacci number by every methode.
